phase,scene_id,k,method,event_id,edge_ids,edge_identity,start_monotonic_s,end_monotonic_s,duration_s,E_miss_Q2,E_rep_Q2,status,E_miss_Q3,E_rep_Q3,error,reservoir_retained,final_nominated
DEV,T30,1,A,0,"[2449, 853, 859, 864, 869, 874, 879, 884, 889, 894, 900, 906, 912, 918, 924, 930, 936, 942, 948, 954, 960, 966, 972, 978, 984, 990, 996, 1001, 1006, 1011, 1016, 1022, 1028, 1033, 1039, 1045, 1050, 1055, 1060, 1066, 1072, 1077, 1083, 1088, 1092, 1098, 1104, 1109, 1114, 1120, 1126, 1132, 1138, 1144, 1150, 1156, 1162, 1168, 1174, 1179, 1184, 1190, 1196, 1201, 1206, 1212, 1218, 1223, 1228, 1233, 1239, 1245, 2410, 346, 890, 1253, 1258, 1263, 1269, 1274, 2434, 425, 420]",15641f45c7e3136106e499b5354ef91fb09b15c8e4441f85d276dd3824dfa616,0.08448975533246994,16.043707571923733,15.959217816591263,0.015486369149693273,0.0491072084046006,Q3_PASS,0.01567809173652108,0.04696362249098743,,True,True
DEV,T30,1,A,1,"[2449, 853, 859, 864, 869, 874, 879, 884, 889, 894, 900, 906, 912, 918, 924, 930, 936, 942, 948, 954, 960, 966, 972, 978, 984, 990, 996, 1001, 1006, 1011, 1016, 1022, 1028, 1033, 1039, 1045, 1050, 1055, 1060, 1066, 1072, 1077, 1083, 1088, 1092, 1098, 1104, 1109, 1114, 1120, 1126, 1132, 1138, 1144, 1150, 1156, 1162, 1168, 1174, 1179, 1184, 1190, 1196, 1201, 1206, 1212, 1218, 1223, 1228, 1233, 1239, 1245, 2410, 346, 890, 1253, 1258, 1263, 1269, 1274, 2434, 425, 420, 1032]",7ec1078b88b3dd5cf918b15cda90c352b2d53d35d48116e5c3ac7335236f795f,16.05212100595236,31.23881945014,15.186698444187641,0.015486369149693273,0.051380492083198434,Q3_PASS,0.01567809173652108,0.049405317835579096,,True,False
DEV,T30,1,A,2,"[2449, 853, 859, 864, 869, 874, 879, 884, 889, 894, 900, 906, 912, 918, 924, 930, 936, 942, 948, 954, 960, 966, 972, 978, 984, 990, 996, 1001, 1006, 1011, 1016, 1022, 1028, 1033, 1039, 1045, 1050, 1055, 1060, 1066, 1072, 1077, 1083, 1088, 1092, 1098, 1104, 1109, 1114, 1120, 1126, 1132, 1138, 1144, 1150, 1156, 1162, 1168, 1174, 1179, 1184, 1190, 1196, 1201, 1206, 1212, 1218, 1223, 1228, 1233, 1239, 1245, 2410, 346, 890, 1253, 1258, 1263, 1269, 1274, 2434, 425, 420, 1034]",e00f83f89fd322bc543d713d1d0a35f76ad4dcad10893160d58d925b057c7659,31.246358908712864,46.07268875837326,14.826329849660397,0.015486369149693273,0.05170281479126768,Q3_PASS,0.01567809173652108,0.04968753191398444,,False,False
DEV,T30,1,A,3,"[2449, 853, 859, 864, 869, 874, 879, 884, 889, 894, 900, 906, 912, 918, 924, 930, 936, 942, 948, 954, 960, 966, 972, 978, 984, 990, 996, 1001, 1006, 1011, 1016, 1022, 1028, 1033, 1039, 1045, 1050, 1055, 1060, 1066, 1072, 1077, 1083, 1088, 1092, 1098, 1104, 1109, 1114, 1120, 1126, 1132, 1138, 1144, 1150, 1156, 1162, 1168, 1174, 1179, 1184, 1190, 1196, 1201, 1206, 1212, 1218, 1223, 1228, 1233, 1239, 1245, 2410, 346, 890, 1253, 1258, 1263, 1269, 1274, 2434, 425, 420, 1032, 1739]",8db8ecfaf6cc7d516a9734be9bf2ebaa19321c8b36fe80ef209f1665e75e7d06,46.078939504921436,61.03286127001047,14.953921765089035,0.015486369149693273,0.05432539724670982,Q3_PASS,0.01567809173652108,0.05222329699521676,,False,False
DEV,T30,1,A_root,0,"[2447, 850, 845, 1786, 1204, 1198, 1193, 1187, 1182, 1176, 1171, 1165, 1159, 1153, 1147, 1141, 1135, 1129, 1123, 1117, 1112, 1106, 1101, 1095, 1090, 1085, 1080, 1075, 1069, 1063, 1058, 1052, 1047, 1042, 1036, 1031, 1025, 1019, 1014, 1008, 1004, 998, 993, 987, 981, 975, 969, 963, 957, 951, 945, 939, 933, 927, 921, 915, 909, 903, 897, 892, 886, 882, 876, 872, 866, 861, 856, 1801, 2451, 1276, 1271, 1266, 1261, 1256, 2413, 352, 358, 364, 934, 2426, 1771, 988, 1223, 1228, 1233, 2393, 809, 1745, 1794]",f24b0a689e3e173e7e809a0008c1d4b9da42a906da25dc9476be149eefd4736d,27.664115458726883,43.87651416659355,16.21239870786667,0.019885370499893015,0.09925961425714326,Q3_FAIL,0.020539098257183943,0.09758193136881413,,False,False
DEV,T30,1,A_root,1,"[2447, 850, 845, 1786, 1204, 1198, 1193, 1187, 1182, 1176, 1171, 1165, 1159, 1153, 1147, 1141, 1135, 1129, 1123, 1117, 1112, 1106, 1101, 1095, 1090, 1085, 1080, 1075, 1069, 1063, 1058, 1052, 1047, 1042, 1036, 1031, 1025, 1019, 1014, 1008, 1004, 998, 993, 987, 981, 975, 969, 963, 957, 951, 945, 939, 933, 927, 921, 915, 909, 903, 897, 892, 886, 882, 876, 872, 866, 861, 856, 1801, 2451, 1276, 1271, 1266, 1261, 1256, 2413, 352, 358, 364, 934, 2426, 1771, 988, 1223, 1228, 1233, 2393, 809, 1742, 2407]",5c03c854f2e07fd5647de0d78e3d02382cf49a7bad04bbf37ab2041f219ace6d,43.9048148393631,59.30622087419033,15.401406034827232,0.01988646458181316,0.09809012057404684,Q3_FAIL,0.02045599435855571,0.096351002173925,,True,False
DEV,T30,1,A_root,2,"[2447, 850, 845, 1786, 1204, 1198, 1193, 1187, 1182, 1176, 1171, 1165, 1159, 1153, 1147, 1141, 1135, 1129, 1123, 1117, 1112, 1106, 1101, 1095, 1090, 1085, 1080, 1075, 1069, 1063, 1058, 1052, 1047, 1042, 1036, 1031, 1025, 1019, 1014, 1008, 1004, 998, 993, 987, 981, 975, 969, 963, 957, 951, 945, 939, 933, 927, 921, 915, 909, 903, 897, 892, 886, 882, 876, 872, 866, 861, 856, 1801, 2451, 1276, 1271, 1266, 1261, 1256, 2413, 352, 358, 364, 934, 2426, 1771, 988, 1223, 1228, 1233, 2395, 857, 809, 1745]",da4fd39a98a60b92565c0b183c5424c67a84df5062863e9e4075bf7301f2ca0e,59.38230790942907,74.82073044776917,15.438422538340092,0.01988555250519455,0.0996825363827577,Q3_FAIL,0.020265419155726817,0.09754100488454255,,False,False
DEV,T30,1,A_root,3,"[2447, 850, 845, 1786, 1204, 1198, 1193, 1187, 1182, 1176, 1171, 1165, 1159, 1153, 1147, 1141, 1135, 1129, 1123, 1117, 1112, 1106, 1101, 1095, 1090, 1085, 1080, 1075, 1069, 1063, 1058, 1052, 1047, 1042, 1036, 1031, 1025, 1019, 1014, 1008, 1004, 998, 993, 987, 981, 975, 969, 963, 957, 951, 945, 939, 933, 927, 921, 915, 909, 903, 897, 892, 886, 882, 876, 872, 866, 861, 856, 1801, 2451, 1276, 1271, 1266, 1261, 1256, 2413, 352, 358, 364, 934, 2426, 1771, 988, 1223, 1228, 2383, 815, 1750, 1239, 2401, 1745]",706e6a5344a630b2241d9eb108d587b8bf77d9d806e2dfa082c658b7639dcb25,74.91053038090467,90.24669994413853,15.336169563233852,0.019873306679894245,0.09877545823062804,Q3_FAIL,0.02000250931232556,0.09642685897831108,,False,False
DEV,T30,1,P,0,"[2449, 853, 859, 864, 869, 874, 879, 884, 889, 894, 900, 906, 912, 918, 924, 930, 936, 942, 948, 954, 960, 966, 972, 978, 984, 990, 996, 1001, 1006, 1011, 1016, 1022, 1028, 1033, 1039, 1045, 1050, 1055, 1060, 1066, 1072, 1077, 1083, 1088, 1092, 1098, 1104, 1109, 1114, 1120, 1126, 1132, 1138, 1144, 1150, 1156, 1162, 1168, 1174, 1179, 1184, 1190, 1196, 1201, 1206, 1212, 1218, 1223, 1228, 1233, 1239, 1245, 2410, 346, 890, 1253, 1258, 1263, 1269, 1274, 2434, 425, 420]",15641f45c7e3136106e499b5354ef91fb09b15c8e4441f85d276dd3824dfa616,0.6844091340899467,16.414723590016365,15.730314455926418,0.015486369149693273,0.0491072084046006,Q3_PASS,0.01567809173652108,0.04696362249098743,,True,True
DEV,T30,1,P,1,"[2449, 853, 859, 864, 869, 874, 879, 884, 889, 894, 900, 906, 912, 918, 924, 930, 936, 942, 948, 954, 960, 966, 972, 978, 984, 990, 996, 1001, 1006, 1011, 1016, 1022, 1028, 1033, 1039, 1045, 1050, 1055, 1060, 1066, 1072, 1077, 1083, 1088, 1092, 1098, 1104, 1109, 1114, 1120, 1126, 1132, 1138, 1144, 1150, 1156, 1162, 1168, 1174, 1179, 1184, 1190, 1196, 1201, 1206, 1212, 1218, 1223, 1228, 1233, 1239, 1245, 2410, 346, 890, 1253, 1258, 1263, 1269, 1274, 2434, 425, 420, 1032]",7ec1078b88b3dd5cf918b15cda90c352b2d53d35d48116e5c3ac7335236f795f,16.420500323176384,31.45441861450672,15.033918291330338,0.015486369149693273,0.051380492083198434,Q3_PASS,0.01567809173652108,0.049405317835579096,,True,True
